signature,tissue,mapping,doi,source_table,symbol_published,symbol_current,ensembl_id,note
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,ANKS1B,ANKS1B,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,GABRB2,GABRB2,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,GPM6A,GPM6A,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,SH2D4A,SH2D4A,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,SYTL5,SYTL5,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,ASB16,ASB16,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,CDC42P3,CDC42P3,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,CTNND2,CTNND2,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,IGIP,IGIP,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,ITGA5,ITGA5,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,MTLN,MTLN,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,NARF,NARF,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,NOTCH1,NOTCH1,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,NUDT11,NUDT11,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,PPP4R4,PPP4R4,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,RAB41,RAB41,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,RPAIN,RPAIN,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,SMIM5,SMIM5,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,SORCS1,SORCS1,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,TMEM140,TMEM140,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,TMEM185A,TMEM185A,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,TNFAIP6,TNFAIP6,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,TSIX,TSIX,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,UFSP1,UFSP1,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,XCL1,XCL1,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,ATP5MF,ATP5MF,,
ory2026_shared,shared,shared,10.1038/s41598-026-53030-4,Table S2,CIAO2B,CIAO2B,,
