"component","proportion","cumulative"
"PC1",0.196750112021546,0.196750112021546
"PC2",0.165778288955958,0.362528400977503
"PC3",0.0944074347634646,0.456935835740968
"PC4",0.0718857070274386,0.528821542768407
"PC5",0.0557067602707335,0.58452830303914
"PC6",0.0465373320464923,0.631065635085633
"PC7",0.0402965482828146,0.671362183368447
"PC8",0.035391504675715,0.706753688044162
"PC9",0.028888618882087,0.735642306926249
"PC10",0.0260023642828691,0.761644671209118
"PC11",0.0229592161906495,0.784603887399768
"PC12",0.0212738120275761,0.805877699427344
"PC13",0.0198857508949684,0.825763450322312
"PC14",0.0180091790624296,0.843772629384742
"PC15",0.0173580667610236,0.861130696145765
"PC16",0.0154646266973514,0.876595322843117
"PC17",0.0153045974888302,0.891899920331947
"PC18",0.0140877255318161,0.905987645863763
"PC19",0.0136777145403428,0.919665360404106
"PC20",0.0135382651152316,0.933203625519337
"PC21",0.0126545353612012,0.945858160880539
"PC22",0.0119204892454789,0.957778650126018
"PC23",0.0111288085699422,0.96890745869596
"PC24",0.0109760709795883,0.979883529675548
"PC25",0.0105028494876947,0.990386379163243
"PC26",0.00961362083675726,1
"PC27",3.86194512491466e-31,1
