"contrast","gene_id","gene_symbol","effect","p_exact","q_storey"
"R_Tumor","ENSG00000113083.15","LOX",0.0388888888888889,4.0267236390537e-06,0.0373196746867497
"R_Tumor","ENSG00000126249.8","PDCD2L",0.0666666666666667,1.99035197016083e-05,0.0793079109945445
"R_Tumor","ENSG00000160325.15","CACFD1",0.916666666666667,4.87808806559648e-05,0.0793079109945445
"R_Tumor","ENSG00000159685.11","CHCHD6",0.911111111111111,7.06402375536849e-05,0.0793079109945445
"R_Tumor","ENSG00000160124.9","CCDC58",0.0888888888888889,7.65077491420202e-05,0.0793079109945445
"R_Tumor","ENSG00000118513.19","MYB",0.0722222222222223,7.91538818191127e-05,0.0793079109945445
"R_Tumor","ENSG00000166848.7","TERF2IP",0.905555555555556,8.19150637430352e-05,0.0793079109945445
"R_Tumor","ENSG00000155011.9","DKK2",0.0833333333333333,8.55966396415986e-05,0.0793079109945445
"R_Tumor","ENSG00000171643.14","S100Z",0.0888888888888889,0.00014151057360103,0.0793079109945445
"R_Tumor","ENSG00000196218.13","RYR1",0.894444444444444,0.000142200869082011,0.0793079109945445
"R_Tumor","ENSG00000118508.5","RAB32",0.105555555555556,0.000150944611841099,0.0793079109945445
"R_Tumor","ENSG00000148572.16","NRBF2",0.111111111111111,0.000170387934555386,0.0793079109945445
"R_Tumor","ENSG00000145833.16","DDX46",0.111111111111111,0.000173494264219799,0.0793079109945445
"R_Tumor","ENSG00000163918.11","RFC4",0.0999999999999999,0.000177636037105683,0.0793079109945445
"R_Tumor","ENSG00000105227.16","PRX",0.888888888888889,0.000189601158776014,0.0793079109945445
"R_Tumor","ENSG00000204001.9","LCN8",0.888888888888889,0.000194548276389709,0.0793079109945445
"R_Tumor","ENSG00000118495.20","PLAGL1",0.116666666666667,0.000226301868514818,0.0793079109945445
"R_Tumor","ENSG00000186765.12","FSCN2",0.883333333333333,0.000226301868514818,0.0793079109945445
"R_Tumor","ENSG00000164930.12","FZD6",0.116666666666667,0.000245400043488615,0.0793079109945445
"R_Tumor","ENSG00000137094.15","DNAJB5",0.883333333333333,0.000269445336076107,0.0793079109945445
"R_Tumor","ENSG00000140992.19","PDPK1",0.883333333333333,0.000284401738164021,0.0793079109945445
"R_Tumor","ENSG00000198028.4","ZNF560",0.894444444444444,0.000292800333182619,0.0793079109945445
"R_Tumor","ENSG00000161970.15","RPL26",0.122222222222222,0.0003053407010871,0.0793079109945445
"R_Tumor","ENSG00000185163.10","DDX51",0.894444444444444,0.000307066439789552,0.0793079109945445
"R_Tumor","ENSG00000204851.7","PNMA8B",0.888888888888889,0.000320067004681354,0.0793079109945445
"R_Tumor","ENSG00000149554.13","CHEK1",0.116666666666667,0.000330881633883384,0.0793079109945445
"R_Tumor","ENSG00000100897.18","DCAF11",0.877777777777778,0.000346068134464958,0.0793079109945445
"R_Tumor","ENSG00000142546.14","NOSIP",0.883333333333333,0.000355962369692347,0.0793079109945445
"R_Tumor","ENSG00000184281.15","TSSC4",0.911111111111111,0.000366201752660226,0.0793079109945445
"R_Tumor","ENSG00000065268.11","WDR18",0.877777777777778,0.000368042540609508,0.0793079109945445
