"unit","collection","pathway","size","ES","NES","pval","q_bh","redundant_with","leading_edge"
"R_Tumor","H","HALLMARK_SPERMATOGENESIS",92,-0.422516342152916,-1.67717939956963,0.0035799522673031,0.178997613365155,NA,"ENSG00000153132;ENSG00000006634;ENSG00000170312;ENSG00000070770;ENSG00000163923;ENSG00000096717;ENSG00000152942;ENSG00000187323;ENSG00000121152;ENSG00000001626;ENSG00000078668;ENSG00000152495;ENSG00000119912;ENSG00000157456;ENSG00000112742;ENSG00000169679;ENSG00000100206;ENSG00000100526;ENSG00000087586;ENSG00000163781;ENSG00000129484;ENSG00000106462;ENSG00000123496;ENSG00000173744;ENSG00000117650;ENSG00000163918"
"R_Tumor","H","HALLMARK_KRAS_SIGNALING_UP",188,-0.457920028636526,-1.67079898345652,0.00983935742971888,0.245983935742972,NA,"ENSG00000115009;ENSG00000167244;ENSG00000117472;ENSG00000158869;ENSG00000166292;ENSG00000138207;ENSG00000086730;ENSG00000164251;ENSG00000125538;ENSG00000118503;ENSG00000101166;ENSG00000204103;ENSG00000134259;ENSG00000162618;ENSG00000164116;ENSG00000071575;ENSG00000174808;ENSG00000122861;ENSG00000057019;ENSG00000003436;ENSG00000184254;ENSG00000160255;ENSG00000133216;ENSG00000262655;ENSG00000124882;ENSG00000124491;ENSG00000116132;ENSG00000136732;ENSG00000122641;ENSG00000049883;ENSG00000189058;ENSG00000168685;ENSG00000151651;ENSG00000104918;ENSG00000197646;ENSG00000104894;ENSG00000106565;ENSG00000107771;ENSG00000171860;ENSG00000198839;ENSG00000147168;ENSG00000111729;ENSG00000108960;ENSG00000196449;ENSG00000136167;ENSG00000164400;ENSG00000110002;ENSG00000002933;ENSG00000249992;ENSG00000121966;ENSG00000137033;ENSG00000134531;ENSG00000198542;ENSG00000152484;ENSG00000173221;ENSG00000154589;ENSG00000115339;ENSG00000101916;ENSG00000185811;ENSG00000134516;ENSG00000174600;ENSG00000164171;ENSG00000105778;ENSG00000115808;ENSG00000198223;ENSG00000131459;ENSG00000082397;ENSG00000162511;ENSG00000134028;ENSG00000151694;ENSG00000136235;ENSG00000124107;ENSG00000023445;ENSG00000099953;ENSG00000243649;ENSG00000128918;ENSG00000000971;ENSG00000197930;ENSG00000276410;ENSG00000149573;ENSG00000140968;ENSG00000100503;ENSG00000172331"
"R_Tumor","H","HALLMARK_E2F_TARGETS",199,-0.5727351359104,-1.67750165255927,0.0495867768595041,0.826446280991736,NA,"ENSG00000128050;ENSG00000112118;ENSG00000182481;ENSG00000113810;ENSG00000167900;ENSG00000164985;ENSG00000167005;ENSG00000132341;ENSG00000012048;ENSG00000134690;ENSG00000162607;ENSG00000117632;ENSG00000166508;ENSG00000132646;ENSG00000161888;ENSG00000166851;ENSG00000105011;ENSG00000156802;ENSG00000100941;ENSG00000205339;ENSG00000072274;ENSG00000141510;ENSG00000012963;ENSG00000142731;ENSG00000171793;ENSG00000111665;ENSG00000136450;ENSG00000156970;ENSG00000104320;ENSG00000117399;ENSG00000132780;ENSG00000148773;ENSG00000170312;ENSG00000178999;ENSG00000186185;ENSG00000124207;ENSG00000082898;ENSG00000146143;ENSG00000147889;ENSG00000124789;ENSG00000156136;ENSG00000089685;ENSG00000074266;ENSG00000135476;ENSG00000163950;ENSG00000113368;ENSG00000111581;ENSG00000115942;ENSG00000147536;ENSG00000159147;ENSG00000120699;ENSG00000072571;ENSG00000090889;ENSG00000164032;ENSG00000123975;ENSG00000187109;ENSG00000152253;ENSG00000138376;ENSG00000181938;ENSG00000065911;ENSG00000146263;ENSG00000104738;ENSG00000101057;ENSG00000105173;ENSG00000157456;ENSG00000129173;ENSG00000138778;ENSG00000024526;ENSG00000183765;ENSG00000131747;ENSG00000076003;ENSG00000126787;ENSG00000161800;ENSG00000086827;ENSG00000091651;ENSG00000101003;ENSG00000139734;ENSG00000137310;ENSG00000136982;ENSG00000133119;ENSG00000100526;ENSG00000087586;ENSG00000163029;ENSG00000171848;ENSG00000164109;ENSG00000106462;ENSG00000077152;ENSG00000119969;ENSG00000131470;ENSG00000139618;ENSG00000111247;ENSG00000143815;ENSG00000108384;ENSG00000134001;ENSG00000165304;ENSG00000071539;ENSG00000239672;ENSG00000145220;ENSG00000149554"
"R_Tumor","H","HALLMARK_G2M_CHECKPOINT",198,-0.509573543529692,-1.59283072944115,0.0755130504084479,0.943438121413381,NA,"ENSG00000085224;ENSG00000083642;ENSG00000177084;ENSG00000029993;ENSG00000189159;ENSG00000161547;ENSG00000117505;ENSG00000072501;ENSG00000013810;ENSG00000123505;ENSG00000014138;ENSG00000164105;ENSG00000198900;ENSG00000188529;ENSG00000138668;ENSG00000143033;ENSG00000164045;ENSG00000108424;ENSG00000104549;ENSG00000112118;ENSG00000182481;ENSG00000113810;ENSG00000118412;ENSG00000117632;ENSG00000166266;ENSG00000083896;ENSG00000166851;ENSG00000101412;ENSG00000116560;ENSG00000138182;ENSG00000198901;ENSG00000142731;ENSG00000006634;ENSG00000136450;ENSG00000165392;ENSG00000112029;ENSG00000117399;ENSG00000132780;ENSG00000085999;ENSG00000100784;ENSG00000148773;ENSG00000170312;ENSG00000178999;ENSG00000082898;ENSG00000136824;ENSG00000137812;ENSG00000129315;ENSG00000146143;ENSG00000164815;ENSG00000138798;ENSG00000154473;ENSG00000093000;ENSG00000089685;ENSG00000080839;ENSG00000163808;ENSG00000117724;ENSG00000080986;ENSG00000135476;ENSG00000113368;ENSG00000141380;ENSG00000007968;ENSG00000072571;ENSG00000090889;ENSG00000164032;ENSG00000123975;ENSG00000112739;ENSG00000088325;ENSG00000138376;ENSG00000277443;ENSG00000175063;ENSG00000053254;ENSG00000137807;ENSG00000143179;ENSG00000145907;ENSG00000101057;ENSG00000184349;ENSG00000157456;ENSG00000138778;ENSG00000094804;ENSG00000145386;ENSG00000131747;ENSG00000076003;ENSG00000112742;ENSG00000123473;ENSG00000138160;ENSG00000169679;ENSG00000161800;ENSG00000135451;ENSG00000093009;ENSG00000091651;ENSG00000167088;ENSG00000100526;ENSG00000087586;ENSG00000051341;ENSG00000168078;ENSG00000164109;ENSG00000174371;ENSG00000106462;ENSG00000139618;ENSG00000143815;ENSG00000117650;ENSG00000115163;ENSG00000097046;ENSG00000149554"
"R_Tumor","H","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",197,-0.452698680748543,-1.5123916638057,0.0993615323224262,0.943438121413381,NA,"ENSG00000130635;ENSG00000111799;ENSG00000008517;ENSG00000135318;ENSG00000107984;ENSG00000204262;ENSG00000106823;ENSG00000060718;ENSG00000166923;ENSG00000115935;ENSG00000116717;ENSG00000164176;ENSG00000053747;ENSG00000116132;ENSG00000166508;ENSG00000108821;ENSG00000120708;ENSG00000122641;ENSG00000163359;ENSG00000140937;ENSG00000138685;ENSG00000172061;ENSG00000124225;ENSG00000077942;ENSG00000106483;ENSG00000151914;ENSG00000166825;ENSG00000019549;ENSG00000137801;ENSG00000163661;ENSG00000186340;ENSG00000168542;ENSG00000180914;ENSG00000163069;ENSG00000169429;ENSG00000198959;ENSG00000117152;ENSG00000164171;ENSG00000157227;ENSG00000011465;ENSG00000163710;ENSG00000197614;ENSG00000138448;ENSG00000166741;ENSG00000153071;ENSG00000132031;ENSG00000163739;ENSG00000128595;ENSG00000133110;ENSG00000105825;ENSG00000113361;ENSG00000163430;ENSG00000139329;ENSG00000078098;ENSG00000130309;ENSG00000038427;ENSG00000139278;ENSG00000148848;ENSG00000115414;ENSG00000150093;ENSG00000164932;ENSG00000101825;ENSG00000122786;ENSG00000167460;ENSG00000113083"
"R_Tumor","H","HALLMARK_INFLAMMATORY_RESPONSE",188,-0.474503348429153,-1.4216205926188,0.164780623386937,0.943438121413381,NA,"ENSG00000123609;ENSG00000106178;ENSG00000176170;ENSG00000126262;ENSG00000115594;ENSG00000147257;ENSG00000197405;ENSG00000019169;ENSG00000184371;ENSG00000146242;ENSG00000121858;ENSG00000057019;ENSG00000164023;ENSG00000115008;ENSG00000103313;ENSG00000181634;ENSG00000123610;ENSG00000067082;ENSG00000124882;ENSG00000174837;ENSG00000122641;ENSG00000121797;ENSG00000102962;ENSG00000104312;ENSG00000117090;ENSG00000168685;ENSG00000060558;ENSG00000105976;ENSG00000171051;ENSG00000167995;ENSG00000090104;ENSG00000126353;ENSG00000171860;ENSG00000115607;ENSG00000162493;ENSG00000198121;ENSG00000136867;ENSG00000173391;ENSG00000108691;ENSG00000226979;ENSG00000169508;ENSG00000049249;ENSG00000125726;ENSG00000105835;ENSG00000159128;ENSG00000065135;ENSG00000038945;ENSG00000204681;ENSG00000115604;ENSG00000167601;ENSG00000125384;ENSG00000110848;ENSG00000169429;ENSG00000089041;ENSG00000150782;ENSG00000102970;ENSG00000141506;ENSG00000103569;ENSG00000169403;ENSG00000167207;ENSG00000170425;ENSG00000174600;ENSG00000136634;ENSG00000157227;ENSG00000117091;ENSG00000119535;ENSG00000145623;ENSG00000254087;ENSG00000162711;ENSG00000196639;ENSG00000165168;ENSG00000078401;ENSG00000106546;ENSG00000258227;ENSG00000174125;ENSG00000136754"
"R_Tumor","H","HALLMARK_ALLOGRAFT_REJECTION",185,-0.517082975672322,-1.41799706266978,0.194711538461538,0.943438121413381,NA,"ENSG00000153283;ENSG00000143479;ENSG00000198821;ENSG00000026103;ENSG00000177889;ENSG00000138378;ENSG00000043462;ENSG00000007171;ENSG00000204632;ENSG00000115085;ENSG00000181163;ENSG00000125538;ENSG00000198851;ENSG00000137078;ENSG00000142867;ENSG00000181374;ENSG00000100365;ENSG00000109943;ENSG00000100453;ENSG00000181104;ENSG00000172349;ENSG00000204267;ENSG00000060982;ENSG00000116824;ENSG00000187210;ENSG00000184371;ENSG00000242574;ENSG00000005844;ENSG00000113263;ENSG00000104131;ENSG00000066336;ENSG00000019582;ENSG00000163519;ENSG00000160654;ENSG00000134539;ENSG00000160255;ENSG00000167286;ENSG00000012048;ENSG00000096968;ENSG00000124882;ENSG00000000938;ENSG00000174842;ENSG00000166278;ENSG00000015285;ENSG00000122641;ENSG00000010610;ENSG00000102962;ENSG00000104312;ENSG00000105369;ENSG00000156234;ENSG00000180353;ENSG00000159110;ENSG00000121594;ENSG00000115607;ENSG00000147168;ENSG00000172724;ENSG00000275302;ENSG00000108691;ENSG00000134460;ENSG00000159128;ENSG00000163823;ENSG00000227507;ENSG00000204252;ENSG00000232810;ENSG00000147889;ENSG00000204287;ENSG00000102034;ENSG00000241106;ENSG00000137265;ENSG00000102245;ENSG00000082074;ENSG00000198918;ENSG00000150782;ENSG00000160791;ENSG00000196735;ENSG00000135341;ENSG00000140749;ENSG00000072401;ENSG00000081237;ENSG00000122862;ENSG00000114013;ENSG00000204257;ENSG00000113643;ENSG00000136634;ENSG00000121807;ENSG00000164163;ENSG00000254087;ENSG00000174130;ENSG00000158092;ENSG00000141429;ENSG00000140030;ENSG00000178562;ENSG00000162711;ENSG00000112799;ENSG00000168811;ENSG00000027697;ENSG00000140968;ENSG00000174125;ENSG00000072694;ENSG00000085760;ENSG00000136754;ENSG00000239672"
"R_Tumor","H","HALLMARK_IL2_STAT5_SIGNALING",194,-0.339405483452075,-1.25875500919194,0.207704527402701,0.943438121413381,NA,"ENSG00000132718;ENSG00000101160;ENSG00000105281;ENSG00000123685;ENSG00000090554;ENSG00000185499;ENSG00000122644;ENSG00000184371;ENSG00000185291;ENSG00000155158;ENSG00000135318;ENSG00000121858;ENSG00000169432;ENSG00000156127;ENSG00000006576;ENSG00000120659;ENSG00000144802;ENSG00000067082;ENSG00000143190;ENSG00000100473;ENSG00000188313;ENSG00000083457;ENSG00000164220;ENSG00000171488;ENSG00000168421;ENSG00000124942;ENSG00000146072;ENSG00000163600;ENSG00000049249;ENSG00000164400;ENSG00000134460;ENSG00000107968;ENSG00000227507;ENSG00000134531;ENSG00000122694;ENSG00000110080;ENSG00000115604;ENSG00000115590;ENSG00000125384;ENSG00000147872;ENSG00000137265;ENSG00000163599;ENSG00000198959;ENSG00000127951;ENSG00000114013;ENSG00000196664;ENSG00000184014;ENSG00000116729;ENSG00000136634;ENSG00000117091;ENSG00000143179;ENSG00000135074;ENSG00000124151;ENSG00000138448;ENSG00000105173;ENSG00000140030;ENSG00000094804;ENSG00000141378;ENSG00000106546;ENSG00000137193;ENSG00000027697;ENSG00000140968;ENSG00000164305;ENSG00000118495;ENSG00000126249"
"R_Tumor","H","HALLMARK_MITOTIC_SPINDLE",198,-0.301112198676207,-1.21874812244087,0.219310344827586,0.943438121413381,NA,"ENSG00000129116;ENSG00000112029;ENSG00000198586;ENSG00000155903;ENSG00000170312;ENSG00000038382;ENSG00000151914;ENSG00000156876;ENSG00000114346;ENSG00000141298;ENSG00000089685;ENSG00000166037;ENSG00000070831;ENSG00000163808;ENSG00000115904;ENSG00000117724;ENSG00000080986;ENSG00000135476;ENSG00000211455;ENSG00000113368;ENSG00000090889;ENSG00000134516;ENSG00000088325;ENSG00000066777;ENSG00000277443;ENSG00000137807;ENSG00000165527;ENSG00000011426;ENSG00000118762;ENSG00000138095;ENSG00000184445;ENSG00000158092;ENSG00000157456;ENSG00000198087;ENSG00000138778;ENSG00000131747;ENSG00000112742;ENSG00000138160;ENSG00000169679;ENSG00000126787;ENSG00000161800;ENSG00000087586;ENSG00000100503;ENSG00000139618;ENSG00000117650;ENSG00000136754;ENSG00000010017"
"R_Tumor","H","HALLMARK_IL6_JAK_STAT3_SIGNALING",81,-0.461427029091042,-1.2982186173709,0.251842996612871,0.943438121413381,NA,"ENSG00000131724;ENSG00000104432;ENSG00000056736;ENSG00000259207;ENSG00000177663;ENSG00000026103;ENSG00000110395;ENSG00000100292;ENSG00000115145;ENSG00000125538;ENSG00000115594;ENSG00000196396;ENSG00000184371;ENSG00000185291;ENSG00000156234;ENSG00000163734;ENSG00000172936;ENSG00000147168;ENSG00000146072;ENSG00000164400;ENSG00000134460;ENSG00000159128;ENSG00000107968;ENSG00000163823;ENSG00000227507;ENSG00000213928;ENSG00000175354;ENSG00000232810;ENSG00000115604;ENSG00000115590;ENSG00000115232;ENSG00000141506;ENSG00000119535;ENSG00000145623;ENSG00000198223;ENSG00000100368;ENSG00000163739;ENSG00000137193;ENSG00000027697"
