"level","category","dose-zero","exposed, AS not calculated","Low-AS","Mid-AS","High-AS","total"
"Driver","BRAF.MutV600E","35 (31)","3 (3)","79 (72)","61 (56)","12 (12)","190 (174)"
"Driver","CCDC6-RET","9 (9)","0 (0)","9 (6)","12 (10)","10 (8)","40 (33)"
"Driver","ETV6-NTRK3","7 (6)","25 (22)","—","—","—","32 (28)"
"Driver","NRAS","4 (4)","16 (14)","—","—","—","20 (18)"
"Driver","RET-OTHER","5 (4)","0 (0)","5 (4)","4 (4)","4 (4)","18 (16)"
"Driver","HRAS","2 (2)","13 (11)","—","—","—","15 (13)"
"Driver","NCOA4-RET","2 (2)","0 (0)","5 (5)","4 (2)","4 (4)","15 (13)"
"Driver","na","2 (2)","9 (8)","—","—","—","11 (10)"
"Driver","BRAF-OTHER","0 (0)","9 (9)","—","—","—","9 (9)"
"Driver","KRAS","2 (2)","7 (5)","—","—","—","9 (7)"
"Driver","ALK-STRN","2 (2)","6 (6)","—","—","—","8 (8)"
"Driver","AGK-BRAF","0 (0)","6 (4)","—","—","—","6 (4)"
"Driver","CREB3L2-PPARG","1 (1)","5 (5)","—","—","—","6 (6)"
"Driver","PAX8-PPARG","0 (0)","6 (6)","—","—","—","6 (6)"
"Driver","TSHR","1 (0)","5 (3)","—","—","—","6 (3)"
"Driver","NTRK1-TPR","0 (0)","5 (4)","—","—","—","5 (4)"
"Driver","ALK-OTHER","0 (0)","4 (3)","—","—","—","4 (3)"
"Driver","BRAF-SND1","0 (0)","4 (4)","—","—","—","4 (4)"
"Driver","BRAF.MutOther","0 (0)","0 (0)","2 (2)","1 (1)","1 (1)","4 (4)"
"Driver","IGF2BP3/THADA","1 (1)","3 (2)","—","—","—","4 (3)"
"Driver","NTRK1-OTHER","0 (0)","4 (4)","—","—","—","4 (4)"
"Driver","NTRK1-TPM3","0 (0)","4 (2)","—","—","—","4 (2)"
"Driver","NTRK3-OTHER","1 (1)","3 (3)","—","—","—","4 (4)"
"Driver","DICER1","3 (3)","0 (0)","—","—","—","3 (3)"
"Driver","LTK-OTHER","1 (1)","2 (2)","—","—","—","3 (3)"
"Driver","APC","1 (1)","1 (1)","—","—","—","2 (2)"
"Driver","IGF2","0 (0)","2 (2)","—","—","—","2 (2)"
"Driver","NFE2L2","1 (1)","1 (1)","—","—","—","2 (2)"
"Driver","BRAF-LargeDEL","1 (1)","0 (0)","—","—","—","1 (1)"
"Driver","PPARG-OTHER","0 (0)","1 (1)","—","—","—","1 (1)"
"Driver","TSC1","0 (0)","1 (1)","—","—","—","1 (1)"
"Driver","TSC2","0 (0)","1 (1)","—","—","—","1 (1)"
"Group","Mut.BRAF","35 (31)","3 (3)","81 (74)","62 (57)","13 (13)","194 (178)"
"Group","Fusion.RET","16 (15)","0 (0)","19 (15)","20 (16)","18 (16)","73 (62)"
"Group","Mut.RAS","8 (8)","36 (30)","—","—","—","44 (38)"
"Group","Fusion.NTRK3","8 (7)","28 (25)","—","—","—","36 (32)"
"Group","Fusion.BRAF","1 (1)","19 (17)","—","—","—","20 (18)"
"Group","Fusion.NTRK1","0 (0)","13 (10)","—","—","—","13 (10)"
"Group","Fusion.PPARG","1 (1)","12 (12)","—","—","—","13 (13)"
"Group","Fusion.ALK","2 (2)","10 (9)","—","—","—","12 (11)"
"Group","na","2 (2)","9 (8)","—","—","—","11 (10)"
"Group","Fusion.IGF2/IGF2BP3","1 (1)","5 (4)","—","—","—","6 (5)"
"Group","Mut.TSHR","1 (0)","5 (3)","—","—","—","6 (3)"
"Group","Fusion.LTK","1 (1)","2 (2)","—","—","—","3 (3)"
"Group","Mut.DICER1","3 (3)","0 (0)","—","—","—","3 (3)"
"Group","Mut.APC","1 (1)","1 (1)","—","—","—","2 (2)"
"Group","Mut.NFE2L2","1 (1)","1 (1)","—","—","—","2 (2)"
"Group","Mut.TSC","0 (0)","2 (2)","—","—","—","2 (2)"
