"package","version","role"
"data.table","1.18.2.1","pipeline"
"digest","0.6.39","pipeline"
"doSNOW","1.0.20","pipeline"
"edgeR","4.8.2","pipeline"
"foreach","1.5.2","pipeline"
"GenomicDataCommons","1.34.1","pipeline"
"GenomicRanges","1.62.1","pipeline"
"ggplot2","4.0.2","pipeline"
"ggrepel","0.9.8","pipeline"
"iterators","1.0.14","pipeline"
"limma","3.66.0","pipeline"
"MASS","7.3-65","pipeline"
"matrixStats","1.5.0","pipeline"
"msigdbr","26.1.0","pipeline"
"R.utils","2.13.0","pipeline"
"Rcpp","1.1.1","pipeline"
"RhpcBLASctl","0.23-42","pipeline"
"rtracklayer","1.70.1","pipeline"
"SummarizedExperiment","1.40.0","pipeline"
"Matrix","1.7-5","diagnostics"
"brunnermunzel","2.0","tests"
"fgsea","1.36.2","tests"
"testthat","3.3.2","tests"
