"family","list","pathway","set_size","overlap","expected","p_hyper","q_bh"
"C2:CGP:radiation","combined","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR",126,50,14.2366,1.67945516704105e-16,4.03069240089852e-15
"C2:CGP:radiation","combined","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR",84,32,9.4911,1.62260636939598e-10,1.94712764327518e-09
"C2:CGP:radiation","combined","SMIRNOV_RESPONSE_TO_IR_6HR_DN",110,17,12.4288,0.112064075004255,0.605090899988695
"C2:CGP:radiation","combined","RASHI_RESPONSE_TO_IONIZING_RADIATION_6",74,12,8.3612,0.126060604164311,0.605090899988695
"C2:CGP:radiation","combined","WARTERS_RESPONSE_TO_IR_SKIN",74,12,8.3612,0.126060604164311,0.605090899988695
"C2:CGP:radiation","combined","SMIRNOV_RESPONSE_TO_IR_6HR_UP",165,23,18.6432,0.169164488690056,0.630267635102657
"C2:CGP:radiation","combined","MACAEVA_PBMC_RESPONSE_TO_IR",97,14,10.9599,0.202780862715179,0.630267635102657
"C2:CGP:radiation","combined","GHANDHI_BYSTANDER_IRRADIATION_UP",74,11,8.3612,0.210089211700886,0.630267635102657
"C2:CGP:radiation","combined","MONNIER_POSTRADIATION_TUMOR_ESCAPE_DN",371,46,41.9189,0.271756449867272,0.724683866312726
"C2:CGP:radiation","combined","RASHI_RESPONSE_TO_IONIZING_RADIATION_5",123,16,13.8976,0.313255922475677,0.751814213941625
"C2:CGP:radiation","combined","QUINTENS_EMBRYONIC_BRAIN_RESPONSE_TO_IR",80,10,9.0391,0.41787950594607,0.859074229237524
"C2:CGP:radiation","combined","MONNIER_POSTRADIATION_TUMOR_ESCAPE_UP",394,46,44.5176,0.429537114618762,0.859074229237524
"C2:CGP:radiation","combined","RASHI_RESPONSE_TO_IONIZING_RADIATION_3",41,5,4.6325,0.500067695468978,0.923201899327344
"C2:CGP:radiation","combined","KYNG_DNA_DAMAGE_BY_GAMMA_RADIATION",72,8,8.1352,0.575505863816609,0.96490683042233
"C2:CGP:radiation","combined","TSAI_RESPONSE_TO_IONIZING_RADIATION",142,15,16.0444,0.648930967083751,0.96490683042233
"C2:CGP:radiation","combined","GHANDHI_DIRECT_IRRADIATION_UP",91,9,10.282,0.713316221030114,0.96490683042233
"C2:CGP:radiation","combined","GHANDHI_DIRECT_IRRADIATION_DN",33,3,3.7286,0.736892211313272,0.96490683042233
"C2:CGP:radiation","combined","SMIRNOV_RESPONSE_TO_IR_2HR_UP",54,5,6.1014,0.745010663617141,0.96490683042233
"C2:CGP:radiation","combined","RASHI_RESPONSE_TO_IONIZING_RADIATION_4",45,4,5.0845,0.763884574084345,0.96490683042233
"C2:CGP:radiation","combined","SMIRNOV_RESPONSE_TO_IR_2HR_DN",55,4,6.2144,0.882333737830762,0.978523165377557
"C2:CGP:radiation","combined","WARTERS_IR_RESPONSE_5GY",46,3,5.1975,0.905132208803419,0.978523165377557
"C2:CGP:radiation","combined","RASHI_RESPONSE_TO_IONIZING_RADIATION_1",38,2,4.2936,0.938874480444688,0.978523165377557
"C2:CGP:radiation","combined","RASHI_RESPONSE_TO_IONIZING_RADIATION_2",118,8,13.3327,0.963695126566167,0.978523165377557
