"pair_id","up","up_name","down","down_name","median_diff","reversal_rate","r0_q10"
"P1","ENSG00000123454","DBH","ENSG00000007062","PROM1",4.70039974309308,0.6,1.34383839917134
"P2","ENSG00000198028","ZNF560","ENSG00000121552","CSTA",4.62709676857372,0.733333333333333,1.21136832002549
"P3","ENSG00000167434","CA4","ENSG00000164932","CTHRC1",4.18852628653003,0.6,1.14813931681132
"P4","ENSG00000274286","ADRA2B","ENSG00000072694","FCGR2B",3.94516807024429,0.533333333333333,1.69836185493289
"P5","ENSG00000167968","DNASE1L2","ENSG00000113083","LOX",3.44859988939182,0.533333333333333,1.29176868982754
"P6","ENSG00000204851","PNMA8B","ENSG00000179639","FCER1A",3.07842931981016,0.533333333333333,0.947293033112359
"P7","ENSG00000167971","CASKIN1","ENSG00000158481","CD1C",3.02960895116527,0.6,1.12955471668401
"P8","ENSG00000180929","GPR62","ENSG00000123496","IL13RA2",2.75727729255579,0.6,1.01026109248162
"P9","ENSG00000130751","NPAS1","ENSG00000168078","PBK",2.65618789144212,0.6,0.941091495155592
"P10","ENSG00000105371","ICAM4","ENSG00000143546","S100A8",2.64106576357039,0.533333333333333,0.791104928769291
