"package","version"
"BiocManager","1.30.27"
"brunnermunzel","2.0"
"data.table","1.18.2.1"
"digest","0.6.39"
"doSNOW","1.0.20"
"edgeR","4.8.2"
"fgsea","1.36.2"
"foreach","1.5.2"
"GenomicDataCommons","1.34.1"
"GenomicRanges","1.62.1"
"ggplot2","4.0.2"
"ggrepel","0.9.8"
"iterators","1.0.14"
"lattice","0.22-9"
"limma","3.66.0"
"MASS","7.3-65"
"Matrix","1.7-5"
"matrixStats","1.5.0"
"msigdbr","26.1.0"
"R.utils","2.13.0"
"Rcpp","1.1.1"
"RhpcBLASctl","0.23-42"
"rtracklayer","1.70.1"
"SummarizedExperiment","1.40.0"
"survival","3.8-6"
"TCC","1.50.0"
"testthat","3.3.2"
