"unit","collection","m_sets","replicates","n_any_discovery","p_any","ci_lo","ci_hi","mean_discoveries","max_discoveries"
"R_Tumor","H",50,100,12,0.12,0.0635689025611593,0.200235683619969,0.28,7
"R_Tumor","C2:CP",2262,100,1,0.01,0.000253146032977421,0.0544593853920806,0.54,54
"R_Tumor","C5:GO:BP",3856,100,1,0.01,0.000253146032977421,0.0544593853920806,0.1,10
"R_Tumor","C2:CGP:radiation",24,100,9,0.09,0.0419835956283922,0.163982255029635,0.18,5
"R_Normal","H",50,100,7,0.07,0.0286052889074387,0.138919728455857,0.14,6
"R_Normal","C2:CP",2248,100,3,0.03,0.0062299715383064,0.08517605297428,1.88,123
"R_Normal","C5:GO:BP",3819,100,2,0.02,0.00243133682394254,0.0703839324710701,0.57,49
"R_Normal","C2:CGP:radiation",24,100,6,0.06,0.0223348860713164,0.126029934580823,0.11,5
"B_Tumor","H",50,100,8,0.08,0.0351715625181628,0.151557635864421,0.29,10
"B_Tumor","C2:CP",2280,100,1,0.01,0.000253146032977421,0.0544593853920806,0.05,5
"B_Tumor","C5:GO:BP",3888,100,4,0.04,0.0110044939861882,0.0992571567126599,7.87,367
"B_Tumor","C2:CGP:radiation",24,100,10,0.1,0.049004689221486,0.176222597740023,0.2,8
"B_Normal","H",50,100,18,0.18,0.110311229153261,0.269477085966812,0.48,8
"B_Normal","C2:CP",2267,100,3,0.03,0.0062299715383064,0.08517605297428,0.58,24
"B_Normal","C5:GO:BP",3882,100,5,0.05,0.0164318791820521,0.112834911105463,8.99,323
"B_Normal","C2:CGP:radiation",24,100,12,0.12,0.0635689025611593,0.200235683619969,0.23,7
